figure	panel	title	state	asset	seal	note
Figure 1	A	Paired perturbation study design	provisional	work/three_cohort_recoverability_20260921T154031Z/study_design/figure_1A_study_design.svg	work/three_cohort_recoverability_20260921T154031Z/study_design/SUCCESS	Conceptual schematic only; final cohort and profile counts are not yet shown.
Figure 1	B	Profiler-specific expected-abundance estimands	provisional	work/three_cohort_recoverability_20260921T154031Z/study_design/figure_1B_profiler_estimands.svg	work/three_cohort_recoverability_20260921T154031Z/study_design/SUCCESS	Read-proportional Bracken and genome-equivalent MetaPhlAn formulas; no fitted constant.
Figure 2	A	Detection across taxon, dose, and background	provisional	work/three_cohort_recoverability_20260921T154031Z/detection/three_cohort_detection_heatmap.png	work/three_cohort_recoverability_20260921T154031Z/detection/SUCCESS	Descriptive positive-abundance fraction; Wilson intervals and denominators are in the source TSV. Model contrasts remain pending.
Figure 2	B	Quantitative recovery with sample IQR boxes	provisional	work/three_cohort_recoverability_20260921T154031Z/quantitative_recovery_boxes/three_cohort_quantitative_recovery_boxes.png	work/three_cohort_recoverability_20260921T154031Z/quantitative_recovery_boxes/SUCCESS	Corrected endpoints; verify real plotted quartiles and zero counts.
Figure 3	A	Non-implanted response atlas	provisional	work/three_cohort_recoverability_20260921T154031Z/partial_snapshot_response/report/figures/response_operator_crosstalk.png	work/three_cohort_recoverability_20260921T154031Z/partial_snapshot_response/SUCCESS	Corrected profiler-scale partial-snapshot response; descriptive cross-talk, not ecology.
Figure 3	B	Response-operator performance map	provisional	work/three_cohort_recoverability_20260921T154031Z/partial_snapshot_response/report/figures/response_operator_performance_map.png	work/three_cohort_recoverability_20260921T154031Z/partial_snapshot_response/SUCCESS	Performance and consistency require review across the finished-sample cohorts.
Figure 4	A	Additive versus composition-only reconstruction error	provisional	work/three_cohort_recoverability_20260921T154031Z/partial_snapshot_response/report/figures/superposition_error_comparison.png	work/three_cohort_recoverability_20260921T154031Z/partial_snapshot_response/SUCCESS	Same-sample reconstruction, not an externally trained prediction model.
Figure 4	B	Reconstruction improvement by dose	provisional	work/three_cohort_recoverability_20260921T154031Z/partial_snapshot_response/report/figures/superposition_improvement_by_dose.png	work/three_cohort_recoverability_20260921T154031Z/partial_snapshot_response/SUCCESS	Positive improvement favors response-informed reconstruction; inspect source denominators.
Figure 5	A	Target-excluded CRC biomarker retention by dose	provisional	work/three_cohort_recoverability_20260921T154031Z/partial_snapshot_biomarker/robustness/figures/bystander_biomarker_retention.png	work/three_cohort_recoverability_20260921T154031Z/partial_snapshot_biomarker/SUCCESS	Corrected implanted-target exclusion on existing partial disease fits; not final.
Figure 5	B	Target-excluded biomarker effect changes	provisional	work/three_cohort_recoverability_20260921T154031Z/partial_snapshot_biomarker/robustness/figures/bystander_transition_effect_change.png	work/three_cohort_recoverability_20260921T154031Z/partial_snapshot_biomarker/SUCCESS	Descriptive transitions only; continuous model and ideal-counterfactual DiD remain pending.
Figure 6	A	Directional cross-cohort biomarker replication	provisional	work/three_cohort_recoverability_20260921T154031Z/partial_snapshot_biomarker/replication/directional_replication_matrix.svg	work/three_cohort_recoverability_20260921T154031Z/partial_snapshot_biomarker/SUCCESS	Unspiked community baseline calls; absent validation features excluded from evaluable denominator.
Figure 6	B	Perturbation reliability versus external replication	provisional	work/three_cohort_recoverability_20260921T154031Z/partial_snapshot_response/report/figures/biomarker_replication_by_reliability.png	work/three_cohort_recoverability_20260921T154031Z/partial_snapshot_response/SUCCESS	Exploratory association; replication labels come from the same partial disease-model run.
Supplement	S1	Four-taxon baseline prevalence and positive abundance	placeholder			Current draft differs from historical Feng/Zeller plot; denominator audit pending.
Supplement	S2	Minimum dose for target biomarker recovery	provisional	work/three_cohort_recoverability_20260921T154031Z/figures_readable_v2/panel_A_minimum_spike_fraction.png	work/three_cohort_recoverability_20260921T154031Z/figures_readable_v2/SUCCESS	Exploratory three-cohort stratified calls; review counts and labels.
Supplement	S3	Recovery drivers and biomarker significance	provisional	work/three_cohort_recoverability_20260921T154031Z/figures_readable_v2/panel_B_recovery_drivers.png	work/three_cohort_recoverability_20260921T154031Z/figures_readable_v2/SUCCESS	Display caps are explicit; inspect source and correlation sensitivity.
Supplement	S4	Driver tertiles and biomarker significance	provisional	work/three_cohort_recoverability_20260921T154031Z/figures_readable_v2/panel_B_driver_tertiles.png	work/three_cohort_recoverability_20260921T154031Z/figures_readable_v2/SUCCESS	Descriptive 30-context tertiles, not a fitted model.
Supplement	S5	Target-level Spearman association overview	provisional	work/three_cohort_recoverability_20260921T154031Z/figures_readable_v2/panel_C_spearman_associations.png	work/three_cohort_recoverability_20260921T154031Z/figures_readable_v2/SUCCESS	Ten-target descriptive correlations; no causal claim.
Supplement	S6	Genome-size reference correction	placeholder			Yachida audit passed; replicate Feng and Zeller before pooled figure.
Supplement	S7	Assembly and reference sensitivities	placeholder			Await aligned definitive three-cohort input and denominator audit.
