run_accession	sample_accession	secondary_sample_accession	fastq_ftp	fastq_md5	fastq_bytes
ERR688358	SAMEA3136748	ERS608599	ftp.sra.ebi.ac.uk/vol1/fastq/ERR688/ERR688358/ERR688358.fastq.gz	6f8fc0333c69d0964e8a2b0ca99af7b5	70936787
ERR688359	SAMEA3136648	ERS608499	ftp.sra.ebi.ac.uk/vol1/fastq/ERR688/ERR688359/ERR688359.fastq.gz	891ae71035f90e8fefe6699bbeb0f90a	103709762
ERR688360	SAMEA3136638	ERS608489	ftp.sra.ebi.ac.uk/vol1/fastq/ERR688/ERR688360/ERR688360.fastq.gz	04ffce4298f36f86ba521737ac4b1ca6	97120739
ERR688362	SAMEA3136670	ERS608521	ftp.sra.ebi.ac.uk/vol1/fastq/ERR688/ERR688362/ERR688362.fastq.gz	4af49bc49cbf02923fe45efec9206b0a	81685706
ERR688367	SAMEA3136630	ERS608481	ftp.sra.ebi.ac.uk/vol1/fastq/ERR688/ERR688367/ERR688367.fastq.gz	d9509af7d7397c364e119f8219f17a06	73083016
ERR688369	SAMEA3136634	ERS608485	ftp.sra.ebi.ac.uk/vol1/fastq/ERR688/ERR688369/ERR688369.fastq.gz	78eafdc88b25df7ec375be771af684c8	56604840
ERR688370	SAMEA3136738	ERS608589	ftp.sra.ebi.ac.uk/vol1/fastq/ERR688/ERR688370/ERR688370.fastq.gz	a783ef977538f4cacb78171e4aa061ce	85988990
ERR688383	SAMEA3136673	ERS608524	ftp.sra.ebi.ac.uk/vol1/fastq/ERR688/ERR688383/ERR688383.fastq.gz	c0087312f200bc03a80933f6588e7610	88173346
ERR688384	SAMEA3136702	ERS608553	ftp.sra.ebi.ac.uk/vol1/fastq/ERR688/ERR688384/ERR688384.fastq.gz	e1889bb24303f32b38c8d9ff6347856b	52489976
ERR688386	SAMEA3136664	ERS608515	ftp.sra.ebi.ac.uk/vol1/fastq/ERR688/ERR688386/ERR688386.fastq.gz	6e83433d3f5b1cde62b0621b19cadecd	72062372
ERR688387	SAMEA3136765	ERS608616	ftp.sra.ebi.ac.uk/vol1/fastq/ERR688/ERR688387/ERR688387.fastq.gz	14fa5a5e6a2fad3940e5f9b55abcc57d	105079816
ERR688391	SAMEA3136691	ERS608542	ftp.sra.ebi.ac.uk/vol1/fastq/ERR688/ERR688391/ERR688391.fastq.gz	18210866c8fe7a41364ccc5226fff874	138098653
ERR688395	SAMEA3136706	ERS608557	ftp.sra.ebi.ac.uk/vol1/fastq/ERR688/ERR688395/ERR688395.fastq.gz	e323a123dee52be7ecf0ed50ace4cd65	89123715
ERR688399	SAMEA3136685	ERS608536	ftp.sra.ebi.ac.uk/vol1/fastq/ERR688/ERR688399/ERR688399.fastq.gz	f2b1e4c2e01e0a65918a55e7ae651838	71799014
ERR688404	SAMEA3136667	ERS608518	ftp.sra.ebi.ac.uk/vol1/fastq/ERR688/ERR688404/ERR688404.fastq.gz	97ea6b0e7c31e6c177423fa366e6899c	104505410
ERR688408	SAMEA3136716	ERS608567	ftp.sra.ebi.ac.uk/vol1/fastq/ERR688/ERR688408/ERR688408.fastq.gz	2c4042b3fddfe88df032088376c586a4	72346729
ERR688409	SAMEA3136625	ERS608476	ftp.sra.ebi.ac.uk/vol1/fastq/ERR688/ERR688409/ERR688409.fastq.gz	8c61b87be1eb4d75eb985aa5d2798a27	114008507
ERR688417	SAMEA3136652	ERS608503	ftp.sra.ebi.ac.uk/vol1/fastq/ERR688/ERR688417/ERR688417.fastq.gz	2d994689be36e022569aae637d8b054f	111288086
ERR688418	SAMEA3136658	ERS608509	ftp.sra.ebi.ac.uk/vol1/fastq/ERR688/ERR688418/ERR688418.fastq.gz	5c7d6a0060273145dee9523629364b71	117206150
ERR688419	SAMEA3136623	ERS608474	ftp.sra.ebi.ac.uk/vol1/fastq/ERR688/ERR688419/ERR688419.fastq.gz	b51bd8fa531b3bca091295a371bb7a00	45672392
ERR688420	SAMEA3136753	ERS608604	ftp.sra.ebi.ac.uk/vol1/fastq/ERR688/ERR688420/ERR688420.fastq.gz	bbc1569435bd42064a3ac852b908d2ff	82473519
ERR688427	SAMEA3136760	ERS608611	ftp.sra.ebi.ac.uk/vol1/fastq/ERR688/ERR688427/ERR688427.fastq.gz	f5954cf9fb8ccdeccd141c38e0f1c78f	91558057
ERR688429	SAMEA3136752	ERS608603	ftp.sra.ebi.ac.uk/vol1/fastq/ERR688/ERR688429/ERR688429.fastq.gz	1ffd7f73610925ca9bdb955fc2df27a0	90572805
ERR688430	SAMEA3136740	ERS608591	ftp.sra.ebi.ac.uk/vol1/fastq/ERR688/ERR688430/ERR688430.fastq.gz	0d1dfc97af5feb35eb81c33f555207fe	103577600
ERR688432	SAMEA3136729	ERS608580	ftp.sra.ebi.ac.uk/vol1/fastq/ERR688/ERR688432/ERR688432.fastq.gz	c54e0ebd30ae66e498674a1bfbd4fb33	174245366
ERR688435	SAMEA3136725	ERS608576	ftp.sra.ebi.ac.uk/vol1/fastq/ERR688/ERR688435/ERR688435.fastq.gz	7f660b15e2c88a98e761a15707c6a511	120837988
ERR688436	SAMEA3136763	ERS608614	ftp.sra.ebi.ac.uk/vol1/fastq/ERR688/ERR688436/ERR688436.fastq.gz	8410a89985ad6b903de7549bc10fa9d3	98106009
ERR688437	SAMEA3136708	ERS608559	ftp.sra.ebi.ac.uk/vol1/fastq/ERR688/ERR688437/ERR688437.fastq.gz	899ff7e333647fd484cd7931cbf9ce79	70736575
ERR688438	SAMEA3136696	ERS608547	ftp.sra.ebi.ac.uk/vol1/fastq/ERR688/ERR688438/ERR688438.fastq.gz	50159c6a3fb65ce4c681e3dbb60d0693	72085527
ERR688443	SAMEA3136629	ERS608480	ftp.sra.ebi.ac.uk/vol1/fastq/ERR688/ERR688443/ERR688443.fastq.gz	d25c281aaa5a3274983ab953ddc3c6cc	60844342
ERR688444	SAMEA3136661	ERS608512	ftp.sra.ebi.ac.uk/vol1/fastq/ERR688/ERR688444/ERR688444.fastq.gz	5fc14bdb5a54a1ec1033d55dc1d8b666	61644456
ERR688447	SAMEA3136639	ERS608490	ftp.sra.ebi.ac.uk/vol1/fastq/ERR688/ERR688447/ERR688447.fastq.gz	a973d92966e22956ac445290d4355a7d	87943841
ERR688450	SAMEA3136695	ERS608546	ftp.sra.ebi.ac.uk/vol1/fastq/ERR688/ERR688450/ERR688450.fastq.gz	4547680ea02e407c6e772406e7d65bd5	166453447
ERR688453	SAMEA3136627	ERS608478	ftp.sra.ebi.ac.uk/vol1/fastq/ERR688/ERR688453/ERR688453.fastq.gz	090bc2ac445c82f876e8fa8168f58925	204605169
ERR688456	SAMEA3136631	ERS608482	ftp.sra.ebi.ac.uk/vol1/fastq/ERR688/ERR688456/ERR688456.fastq.gz	9f8827554e72bdcf225492143ee35bd9	61064795
ERR688457	SAMEA3136683	ERS608534	ftp.sra.ebi.ac.uk/vol1/fastq/ERR688/ERR688457/ERR688457.fastq.gz	5441636d67123e08c8da831ab13dd7e2	59803140
ERR688462	SAMEA3136709	ERS608560	ftp.sra.ebi.ac.uk/vol1/fastq/ERR688/ERR688462/ERR688462.fastq.gz	5bc3accaa2059a89cf2d694ddf408812	69084739
ERR688467	SAMEA3136671	ERS608522	ftp.sra.ebi.ac.uk/vol1/fastq/ERR688/ERR688467/ERR688467.fastq.gz	52918e45c1b0255796379dc1b0043af5	78006753
ERR688471	SAMEA3136732	ERS608583	ftp.sra.ebi.ac.uk/vol1/fastq/ERR688/ERR688471/ERR688471.fastq.gz	db00d7b24723da69c1847f0307b7cf4f	89135936
ERR688474	SAMEA3136686	ERS608537	ftp.sra.ebi.ac.uk/vol1/fastq/ERR688/ERR688474/ERR688474.fastq.gz	907be49958b3c75de27076657a67ad2c	85826231
ERR688475	SAMEA3136637	ERS608488	ftp.sra.ebi.ac.uk/vol1/fastq/ERR688/ERR688475/ERR688475.fastq.gz	78f13ce677f084a2f658b9fb5d7321a4	141202676
ERR688477	SAMEA3136659	ERS608510	ftp.sra.ebi.ac.uk/vol1/fastq/ERR688/ERR688477/ERR688477.fastq.gz	639f743c4f87f85a09fcd52be0815b8a	122383894
ERR688478	SAMEA3136697	ERS608548	ftp.sra.ebi.ac.uk/vol1/fastq/ERR688/ERR688478/ERR688478.fastq.gz	ab5e87e95d81e58e3a7608c75bd7814c	69004937
ERR688479	SAMEA3136684	ERS608535	ftp.sra.ebi.ac.uk/vol1/fastq/ERR688/ERR688479/ERR688479.fastq.gz	698eb365f1d045d8cbe6d1262fe89264	89322486
ERR688480	SAMEA3136718	ERS608569	ftp.sra.ebi.ac.uk/vol1/fastq/ERR688/ERR688480/ERR688480.fastq.gz	62d0f7579dc62deab5af3202b57251dd	75366168
ERR688482	SAMEA3136701	ERS608552	ftp.sra.ebi.ac.uk/vol1/fastq/ERR688/ERR688482/ERR688482.fastq.gz	40b115b7e80878d5c0af1d8f5b716174	61856165
ERR688483	SAMEA3136699	ERS608550	ftp.sra.ebi.ac.uk/vol1/fastq/ERR688/ERR688483/ERR688483.fastq.gz	0700d0e262b9d2888d7b309c36f40b3b	85713150
ERR688487	SAMEA3136746	ERS608597	ftp.sra.ebi.ac.uk/vol1/fastq/ERR688/ERR688487/ERR688487.fastq.gz	50ead0c04d3432a87bed107fa5b81b58	94117588
ERR688491	SAMEA3136768	ERS608619	ftp.sra.ebi.ac.uk/vol1/fastq/ERR688/ERR688491/ERR688491.fastq.gz	b3e088fe5f87e89a2bdeac75c757e70c	159184227
ERR688497	SAMEA3136745	ERS608596	ftp.sra.ebi.ac.uk/vol1/fastq/ERR688/ERR688497/ERR688497.fastq.gz	16a71c441006e505fdbdc3596e6c6c51	65838478
ERR688498	SAMEA3136681	ERS608532	ftp.sra.ebi.ac.uk/vol1/fastq/ERR688/ERR688498/ERR688498.fastq.gz	b495d27081b64300c750843c89ba949f	87737152
ERR688500	SAMEA3136741	ERS608592	ftp.sra.ebi.ac.uk/vol1/fastq/ERR688/ERR688500/ERR688500.fastq.gz	648b4562bd7e92f73dcee83923d92b5b	64444462
ERR688503	SAMEA3136762	ERS608613	ftp.sra.ebi.ac.uk/vol1/fastq/ERR688/ERR688503/ERR688503.fastq.gz	689b3e0746f460f4c8200965459927fc	90090083
