sample_id	condition	study	run_accession	ena_sample_accession	ena_secondary_sample_accession	fastq1_url	fastq2_url	fastq1_md5	fastq2_md5	fastq1_bytes	fastq2_bytes
SID31004	CRC	Public_study__FengQ_2015	ERR688505	SAMEA3136748	ERS608599	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR688/ERR688505/ERR688505_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR688/ERR688505/ERR688505_2.fastq.gz	9b7cd87a91ef1b6a17bbfa40d4a59b06	85afd9f98c5f4f3a437b2c128ae853de	1734994657	1780805145
SID31009	Control	Public_study__FengQ_2015	ERR688506	SAMEA3136648	ERS608499	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR688/ERR688506/ERR688506_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR688/ERR688506/ERR688506_2.fastq.gz	b6ca4810b22451e62e5c426648a43ee7	7f0bae229cd1fdbbbe752d8ef2a47cd6	2792286477	2842729324
SID31021	Control	Public_study__FengQ_2015	ERR688507	SAMEA3136638	ERS608489	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR688/ERR688507/ERR688507_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR688/ERR688507/ERR688507_2.fastq.gz	44662b1b8e541ba5e711af656382f44a	23e0175b7adaafc928edb94603ab3641	2472461519	2557028990
SID31030	Adenoma	Public_study__FengQ_2015	ERR688508	SAMEA3136703	ERS608554	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR688/ERR688508/ERR688508_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR688/ERR688508/ERR688508_2.fastq.gz	7e5e47c74d182575d5676034d273c4b0	186e6daaaa07b00106e5decf8b027307	2064431103	2127344486
SID31071	Control	Public_study__FengQ_2015	ERR688509	SAMEA3136670	ERS608521	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR688/ERR688509/ERR688509_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR688/ERR688509/ERR688509_2.fastq.gz	3cc7184616fd00582743bce5988e1d11	d9a8a3038a521f6a0069ac9bc747d726	2138783957	2197911867
SID31112	Control	Public_study__FengQ_2015	ERR688510	SAMEA3136657	ERS608508	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR688/ERR688510/ERR688510_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR688/ERR688510/ERR688510_2.fastq.gz	669b784da295049c28717525df921dfe	9f4b4808bbb75466ca8b79379d4afa0d	2109955874	2178046880
SID31129	Control	Public_study__FengQ_2015	ERR688511	SAMEA3136660	ERS608511	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR688/ERR688511/ERR688511_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR688/ERR688511/ERR688511_2.fastq.gz	8ef8edead1ba12772b76613f4b94c5e4	8d2d95b96f73a0519ca4a795cc39275e	1610383731	1676249912
SID31137	Adenoma	Public_study__FengQ_2015	ERR688512	SAMEA3136712	ERS608563	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR688/ERR688512/ERR688512_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR688/ERR688512/ERR688512_2.fastq.gz	cf423b61dc80e64dce2fafd7c6b3edec	66677322c5a422678f7aa15bad720c41	2703072537	2787926538
SID31159	CRC	Public_study__FengQ_2015	ERR688513	SAMEA3136769	ERS608620	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR688/ERR688513/ERR688513_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR688/ERR688513/ERR688513_2.fastq.gz	930d0b70fad0b588e6fa43ac0f38af28	ecaf35e1939a79b9cbf744009f6eefa2	2315003662	2384192053
SID31160	Control	Public_study__FengQ_2015	ERR688514	SAMEA3136630	ERS608481	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR688/ERR688514/ERR688514_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR688/ERR688514/ERR688514_2.fastq.gz	44bed179dfbe85b2648882899a99eb12	663ab234620b16d5d77971a17a3decd8	1951463012	1997246658
SID31188	CRC	Public_study__FengQ_2015	ERR688515	SAMEA3136751	ERS608602	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR688/ERR688515/ERR688515_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR688/ERR688515/ERR688515_2.fastq.gz	1657eda85bda2946508c6aecd8e872b2	3e907815f188b0ff7d66b40e8e2420b6	2261496692	2341277168
SID31219	Control	Public_study__FengQ_2015	ERR688516	SAMEA3136634	ERS608485	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR688/ERR688516/ERR688516_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR688/ERR688516/ERR688516_2.fastq.gz	ade5eeae8f7904707330a6efe0d12d7c	4a12b7314436eb628b1ad0d968a32107	1755096747	1787553174
SID31223	CRC	Public_study__FengQ_2015	ERR688517	SAMEA3136738	ERS608589	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR688/ERR688517/ERR688517_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR688/ERR688517/ERR688517_2.fastq.gz	7b85e151b02763d1d80123dfa9d2434a	3af773988baeeb7659beed0fe5fd627c	2146377752	2205591384
SID31233	Adenoma	Public_study__FengQ_2015	ERR688519	SAMEA3136714	ERS608565	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR688/ERR688519/ERR688519_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR688/ERR688519/ERR688519_2.fastq.gz	59aef9d139aef048ea316aa8919dcf30	ccb4f3f464b922cfff976d3380365477	2516096735	2604753745
SID31236	Control	Public_study__FengQ_2015	ERR688520	SAMEA3136663	ERS608514	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR688/ERR688520/ERR688520_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR688/ERR688520/ERR688520_2.fastq.gz	3044003fad59e9f2fbc7fd96a7641f7f	7190aafdedebe584894a45684ce561e4	1832354766	1916860847
SID31237	CRC	Public_study__FengQ_2015	ERR688521	SAMEA3136747	ERS608598	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR688/ERR688521/ERR688521_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR688/ERR688521/ERR688521_2.fastq.gz	e95eee6b67c2a98d31b42474cb20897d	3bd9d3c68269da86a98dba20c96fe744	2328186941	2417539723
SID31256	Adenoma	Public_study__FengQ_2015	ERR688522	SAMEA3136693	ERS608544	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR688/ERR688522/ERR688522_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR688/ERR688522/ERR688522_2.fastq.gz	0a362ab99b66c0861a423cefa6acbd1d	ca3b43d6933b9009b31a25003dfe5ab6	2412139865	2448610483
SID31267	Control	Public_study__FengQ_2015	ERR688523	SAMEA3136676	ERS608527	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR688/ERR688523/ERR688523_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR688/ERR688523/ERR688523_2.fastq.gz	673cc3fddf98ea1a304a9085b134cfe0	bb4318c65c6cc02ac9dd55e0093528e4	2126100423	2121355866
SID31275	Adenoma	Public_study__FengQ_2015	ERR688524	SAMEA3136707	ERS608558	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR688/ERR688524/ERR688524_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR688/ERR688524/ERR688524_2.fastq.gz	eaf8386c125552e3c2c1862f51a0d98a	2396024195cfac80ae564aadebaeb408	1826781858	1816738250
SID31276	CRC	Public_study__FengQ_2015	ERR688525	SAMEA3136743	ERS608594	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR688/ERR688525/ERR688525_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR688/ERR688525/ERR688525_2.fastq.gz	9256fc4922d6a8c58c1ef1ebab32be8c	25649b9e749f050e2dc600d2cd54451e	1997251951	2076883816
SID31282	Adenoma	Public_study__FengQ_2015	ERR688526	SAMEA3136704	ERS608555	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR688/ERR688526/ERR688526_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR688/ERR688526/ERR688526_2.fastq.gz	d74a20cbbc21f513a222911e2098e5bb	cfd1bff467e10f629ebaa54f8f9c88ee	2386813166	2439642260
SID31285	CRC	Public_study__FengQ_2015	ERR688527	SAMEA3136754	ERS608605	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR688/ERR688527/ERR688527_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR688/ERR688527/ERR688527_2.fastq.gz	0491f575142c45818c7cf47719e47355	1b6e8cef9a2d111c179b567ceb0d6517	2597213364	2665993922
SID31300	Control	Public_study__FengQ_2015	ERR688528	SAMEA3136644	ERS608495	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR688/ERR688528/ERR688528_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR688/ERR688528/ERR688528_2.fastq.gz	0367eca0b3dde911363939117951aaeb	48034fc026eefbff6477baf24cd6511f	2407395773	2453437623
SID31328	Control	Public_study__FengQ_2015	ERR688529	SAMEA3136654	ERS608505	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR688/ERR688529/ERR688529_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR688/ERR688529/ERR688529_2.fastq.gz	4656d299f8288453d5b700124cf528dd	bcd6fe6f0f64bc04e7cf9f781bd9ad42	2452594417	2531563192
SID31333	Control	Public_study__FengQ_2015	ERR688530	SAMEA3136673	ERS608524	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR688/ERR688530/ERR688530_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR688/ERR688530/ERR688530_2.fastq.gz	19ee317308a7eea028d15b169fd68a4a	ca686a28dbbb90282a260e191f894754	2335237906	2406109238
SID31337	Adenoma	Public_study__FengQ_2015	ERR688531	SAMEA3136702	ERS608553	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR688/ERR688531/ERR688531_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR688/ERR688531/ERR688531_2.fastq.gz	c4b95259d4fcde524fdfb001031f80ee	3fec55ff105d21e255cf40f6e332f320	1780471265	1830592207
