run_accession	sample_accession	secondary_sample_accession	fastq_ftp	fastq_md5	fastq_bytes
ERR475468	SAMEA2448332	ERS433376	ftp.sra.ebi.ac.uk/vol1/fastq/ERR475/ERR475468/ERR475468_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR475/ERR475468/ERR475468_2.fastq.gz	1252a80b36560f2d86ec52ad0260626c;e87b4fe26ee5435f25654d6b7162cdd1	28452526;34606893
ERR475469	SAMEA2448333	ERS433377	ftp.sra.ebi.ac.uk/vol1/fastq/ERR475/ERR475469/ERR475469_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR475/ERR475469/ERR475469_2.fastq.gz	e899dd426258288b37eb41fa7cf7c289;91b761b9be97647c485f216a0dfc72cd	14063657;17068233
ERR475470	SAMEA2448334	ERS433378	ftp.sra.ebi.ac.uk/vol1/fastq/ERR475/ERR475470/ERR475470_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR475/ERR475470/ERR475470_2.fastq.gz	e256040db32407f5654435f9c5532e85;3f6a26b9bd6dd863f0bd0572d03d9a7a	13176384;15770649
ERR475475	SAMEA2448339	ERS433383	ftp.sra.ebi.ac.uk/vol1/fastq/ERR475/ERR475475/ERR475475_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR475/ERR475475/ERR475475_2.fastq.gz	b387f238a74806af45153d3186dcc4f9;e58a80f0f75ec63ab2896f9edb510263	14265675;17128588
ERR475479	SAMEA2448343	ERS433387	ftp.sra.ebi.ac.uk/vol1/fastq/ERR475/ERR475479/ERR475479_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR475/ERR475479/ERR475479_2.fastq.gz	4e8f17c1b2b80c97a0e045d1cfb1b6c8;56c43854f50cc1fdb8539a886c6a2bb8	14020882;17378005
ERR475483	SAMEA2448347	ERS433391	ftp.sra.ebi.ac.uk/vol1/fastq/ERR475/ERR475483/ERR475483_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR475/ERR475483/ERR475483_2.fastq.gz	4ccd27e29e33686badb31006d56734ba;6b3c5150747ecdb54d3c2898024184ff	12450190;15803738
ERR475484	SAMEA2448348	ERS433392	ftp.sra.ebi.ac.uk/vol1/fastq/ERR475/ERR475484/ERR475484_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR475/ERR475484/ERR475484_2.fastq.gz	71ff87574e2650393829b7aab44facd0;abc6f5d8f36e11856424768dce26f98d	14884037;18245656
ERR475485	SAMEA2448349	ERS433393	ftp.sra.ebi.ac.uk/vol1/fastq/ERR475/ERR475485/ERR475485_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR475/ERR475485/ERR475485_2.fastq.gz	1a22b8b7df9da1139238c5720b03c659;ec94f5968a9820cfd7fc64fd0140e10d	17645427;21360298
ERR475487	SAMEA2448351	ERS433395	ftp.sra.ebi.ac.uk/vol1/fastq/ERR475/ERR475487/ERR475487_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR475/ERR475487/ERR475487_2.fastq.gz	1c1612c6a7cd5809b8eb3aa99e0684f0;687e4a434e83623c3b45fc6253ca5c4b	14215905;17480426
ERR475488	SAMEA2448352	ERS433396	ftp.sra.ebi.ac.uk/vol1/fastq/ERR475/ERR475488/ERR475488_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR475/ERR475488/ERR475488_2.fastq.gz	a6310f5d861528cc12f90ea4835403a6;bba49e13cad0271c1956f25a820bee0d	10011985;12029424
