sample_id	condition	study	run_accession	ena_sample_accession	ena_secondary_sample_accession	fastq1_url	fastq2_url	fastq1_md5	fastq2_md5	fastq1_bytes	fastq2_bytes
CCIS00146684ST-4-0	Control	Public_study__ZellerG_2014	ERR478958	SAMEA2467039	ERS436796	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR478/ERR478958/ERR478958_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR478/ERR478958/ERR478958_2.fastq.gz	f2f4051f6d76ab1b3bee0f0d2375ae83	530222f8ae0f872e7a5a27af93c6a38b	623941541	634314383
CCIS00146684ST-4-0	Control	Public_study__ZellerG_2014	ERR478959	SAMEA2467039	ERS436796	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR478/ERR478959/ERR478959_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR478/ERR478959/ERR478959_2.fastq.gz	a22511a968b75c860b622adeb699d01a	1b6516b782fa615c0e09d6538ebf9635	616653857	628649001
CCIS00146684ST-4-0	Control	Public_study__ZellerG_2014	ERR478960	SAMEA2467039	ERS436796	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR478/ERR478960/ERR478960_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR478/ERR478960/ERR478960_2.fastq.gz	d11e11cf9de733e1f8f311c8bad26b85	a0ec9aa6226f0679d784231c22ea5a62	617733809	630659316
CCIS00146684ST-4-0	Control	Public_study__ZellerG_2014	ERR478961	SAMEA2467039	ERS436796	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR478/ERR478961/ERR478961_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR478/ERR478961/ERR478961_2.fastq.gz	28a78c03924ba5e7de93e9de1cc93433	2bf31486f36ccc29b2f4a65b8ed11cb0	621909022	633984591
CCIS00281083ST-3-0	Control	Public_study__ZellerG_2014	ERR478962	SAMEA2466896	ERS436653	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR478/ERR478962/ERR478962_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR478/ERR478962/ERR478962_2.fastq.gz	c27a2b1488fe9bc716637cdd736c1dd4	98b40620ca01698f51ff729be1489d9c	639706389	709204047
CCIS00281083ST-3-0	Control	Public_study__ZellerG_2014	ERR478963	SAMEA2466896	ERS436653	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR478/ERR478963/ERR478963_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR478/ERR478963/ERR478963_2.fastq.gz	c9113dc21c854fb4e4866c55a74c4b06	3becdd4b7aaa3404bf52dfea82a0ef4c	617939426	683929057
CCIS02124300ST-4-0	Control	Public_study__ZellerG_2014	ERR478964	SAMEA2466965	ERS436722	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR478/ERR478964/ERR478964_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR478/ERR478964/ERR478964_2.fastq.gz	f85c41d2ae31d6b1c366f6d2fdeec3bb	37361e5d5d63d6df5dab262212f14271	753187318	758170986
CCIS02124300ST-4-0	Control	Public_study__ZellerG_2014	ERR478965	SAMEA2466965	ERS436722	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR478/ERR478965/ERR478965_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR478/ERR478965/ERR478965_2.fastq.gz	c29e6b84d246494ca8b666bb0b8143c8	b509a24466a203ff960e5d00d8148276	764820733	766764705
CCIS02124300ST-4-0	Control	Public_study__ZellerG_2014	ERR478966	SAMEA2466965	ERS436722	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR478/ERR478966/ERR478966_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR478/ERR478966/ERR478966_2.fastq.gz	09e6d1f3aa80bfa537ad76948b33af79	7748c05cd421e5bdfc47cd6a661e9552	749101146	752283842
CCIS02124300ST-4-0	Control	Public_study__ZellerG_2014	ERR478967	SAMEA2466965	ERS436722	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR478/ERR478967/ERR478967_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR478/ERR478967/ERR478967_2.fastq.gz	4873118ad7f8ef22702e221161946ebc	9c022eeb259cbd70744cf905ed247ac3	745424144	748765627
