canonical,alias,tool,spike_label
Bacteroides fragilis,Bacteroides fragilis,kraken2_bracken,
Clostridium symbiosum,Clostridium_Q symbiosum,kraken2_bracken,
Dialister pneumosintes,Allisonella pneumosintes,kraken2_bracken,
Fusobacterium nucleatum subsp. nucleatum,Fusobacterium nucleatum,kraken2_bracken,
Hungatella hathewayi,Hungatella_A hathewayi_A,kraken2_bracken,
Parvimonas micra,Parvimonas micra,kraken2_bracken,
Peptostreptococcus anaerobius,Peptostreptococcus anaerobius,kraken2_bracken,
Peptostreptococcus stomatis,Peptostreptococcus stomatis,kraken2_bracken,
Porphyromonas asaccharolytica,Porphyromonas asaccharolytica,kraken2_bracken,
Prevotella intermedia,Prevotella intermedia,kraken2_bracken,
Bacteroides fragilis,Bacteroides fragilis,metaphlan4,
Clostridium symbiosum,Clostridium symbiosum,metaphlan4,
Dialister pneumosintes,Dialister pneumosintes,metaphlan4,
Fusobacterium nucleatum subsp. nucleatum,Fusobacterium nucleatum,metaphlan4,
Hungatella hathewayi,Hungatella hathewayi,metaphlan4,
Parvimonas micra,Parvimonas micra,metaphlan4,
Peptostreptococcus anaerobius,Peptostreptococcus anaerobius,metaphlan4,
Peptostreptococcus stomatis,Peptostreptococcus stomatis,metaphlan4,
Porphyromonas asaccharolytica,Porphyromonas asaccharolytica,metaphlan4,
Prevotella intermedia,Prevotella intermedia,metaphlan4,
